Time ,Opposite Team,Toss,Batting Sequence,Match Score,Match_Stadium,Captain,Head Coach,No of Blowers,No of All Rounders,No of Batsman,Result
N,RCB,Lost,1,3,"Arun Jaitley Stadium, Delhi",Rohit Sharma,Robin Singh,1,5,4,Lost
N,RR,Won,1,2,"Eden Gardens, Kolkata",Rohit Sharma,Robin Singh,1,5,4,Win
N,DC,Won,2,2,"MA Chidambaram Stadium, Chepauk, Chennai",Harbhajan Singh,Robin Singh,2,4,4,Win
N,RCB,Lost,1,2,OTHERS,Harbhajan Singh,Robin Singh,4,1,5,Win
D/N,KKR,Lost,1,3,OTHERS,Harbhajan Singh,Robin Singh,3,3,4,Win
N,CSK,Won,2,4,"Arun Jaitley Stadium, Delhi",Harbhajan Singh,Robin Singh,4,2,4,Lost
N,SRH,Won,1,2,OTHERS,Harbhajan Singh,Robin Singh,5,2,3,Win
D/N,KXIP,Won,1,3,"Eden Gardens, Kolkata",Harbhajan Singh,Robin Singh,1,6,3,Win
D/N,SRH,Won,2,3,"M.Chinnaswamy Stadium, Bengaluru",Harbhajan Singh,Robin Singh,4,2,4,Win
N,CSK,Lost,1,3,OTHERS,Harbhajan Singh,Robin Singh,2,5,3,Win
N,KXIP,Won,2,3,"M.Chinnaswamy Stadium, Bengaluru",Harbhajan Singh,Robin Singh,2,4,4,Lost
D/N,RR,Lost,1,1,"Arun Jaitley Stadium, Delhi",Sachin Tendulkar,Robin Singh,3,2,5,Win
N,DC,Won,2,2,"M.Chinnaswamy Stadium, Bengaluru",Sachin Tendulkar,Robin Singh,4,2,4,Win
D/N,RCB,Lost,2,3,OTHERS,Sachin Tendulkar,Robin Singh,4,1,5,Win
D/N,KKR,Lost,2,1,OTHERS,Sachin Tendulkar,Robin Singh,3,4,3,Lost
N,RCB,Lost,2,3,OTHERS,Sachin Tendulkar,Robin Singh,3,3,4,Win
N,CSK,Won,2,3,OTHERS,Sachin Tendulkar,Robin Singh,4,3,3,Lost
N,CSK,Won,2,3,"Eden Gardens, Kolkata",Sachin Tendulkar,Shaun Pollock,2,6,2,Win
N,RR,Lost,2,4,"Arun Jaitley Stadium, Delhi",Sachin Tendulkar,Shaun Pollock,4,3,3,Win
N,SRH,Lost,2,3,OTHERS,Sachin Tendulkar,Shaun Pollock,4,1,5,Win
